QUESTION,ANSWER_CHOICE,Q_UNDERGOER,A_UNDERGOER,UNDERGOER_SCORE,Q_ENABLER,A_ENABLER,ENABLER_SCORE,Q_TRIGGER,A_TRIGGER,TRIGGER_SCORE,Q_RESULT,A_RESULT,RESULT_SCORE,Q_UNDERSPECIFIED,A_UNDERSPECIFIED,UNDERSPECIFIED_SCORE,CORRECT_ANSWER,PREDICTED_ANSWER,PREDICTION
"Light can <span class=""blank""> </span>off surfaces that it strikes. ",reflect,surfaces,,,,,,strikes,market,0.0000,,other than bipolar disorder | reflect | federal government relaxant drugs stable multiple | including halo effects from the common source | our parents felt strongly about,,,,,reflect,motion,FALSE
The process in which something changes from a gas state to a liquid state,convection,gas,,,,"one of two possibilities | wind that creates an air flow over the asphalt surface | density differences | convection | the movement of air or water molecules | triggering of potential instability | a fluid -lrb- air , water , any fluid -rrb- | the reduction in density caused by more h2o -lrb- g -rrb- | axial density differences | heated more than its surroundings , leading to | al alloy pin displacement | macroscopic flow | the heated fluid | density variations due to compositional differences : dense material sinks and light material rises | buoyancy forces due to density differences caused by temperature variations in the fluid | the movement of air or water molecules across the skin | buoyancy forces due to dens ity differences caused by temperature variations in the fluid | temperature differences between the indoor glass and the outdoor glass of the ig unit | to the top of a pot and gives off energy | by the movement of liquids or gases | heat | the reaction exothermicity and by the density change | lifting owing to dynamical | through a gas or liquid by the hotter material moving into a cooler area | local buoyancy differences | dynamical convergence lines -lsb- 2 -rsb- , orographic uplift , or weather fronts | the change in density of the fluid | wind , which creates pressure gradients in | cylinder oscillation , the natural convection | to speed up the process of convection | gravity and differences of solution den - sity",,,impact | characteristic | understanding | boundary | difference | parameter | problem,,changes|liquid,"cold air that is in immediate contact with the skin to be warmed . | circulate hot air for even cooking | explain how the convection responds to the | the motions of earth 's tectonic plates . | nucleate directly in the melt and grow spheroidally to a large scale from the convective melt -lsb- 4-6 -rsb- | convert thermal energy gained from neutrino heating into kinetic energy , improving the overall | locally big differences in precipitation intensities | alleviate this problem | the small differences observed . | distinguish between tensors -lrb- more than 2-d -rrb- and matrices -lrb- exactly 2-d tensors -rrb- | elevate evaporating mass flux | produce the air currents that move ocean | feedbacks of different convective cloud clusters to the large-scale environment | deformation of the earth 's surface | mix the lower part of the atmosphere | homogenize the cloud-containing layer | improve the total heat transfer rate | perturbations in earth 's density distribution at every other spherical harmonic degree and order . | a red edge by benignly neutralizing the radiative | it , which is one of the three types of heat . | the westerlies -lrb- by fluid dynamics i 'm not | increase its vapor content | ensure that the transport of species is governed by diffusion alone",0.2165,,one location |the next,,condensation,condensation,TRUE
The process in which something changes from a gas state to a liquid state,condensation,gas,,,,"excessive moisture in the house | what | condensation | element depletion from | a conserved current associated with the bosons | the opening of spin density wave -lrb- sdw -rrb- gap | things you do in your day | the release of latent heat as shown in | repeated heating and cooling cycles | basic catalysis of the reaction mixture | replacement of the bridge chlorine atoms by a co | rh reaching 100 % -rrb- or carbon | the enzyme | cooling | forced ventilation with air of a dew-point temperature higher than the temperature of the tubers | which | into contact with cool surfaces , such as glass | wet air -lrb- inside of girders -rrb- | to the point where the relative humidity is approximately",,,context | union | base | key | tenant | quantity,,changes|liquid,more damage than inside condensation and not many people know about it . | alleviate this problem by shortening the effective length of the chromosome | make the spirit smooth | helps to ...,0.9063,,gas |liquid | a vapor |a liquid | a gas |a liquid | a vapour |a liquid,,condensation,condensation,TRUE
The process in which something changes from a gas state to a liquid state,forecast,gas,actual demand,0.0000,,an overestimation of | but does not occur or vise versa | sea breezes moving in from the gulf | time | the target -lrb- for a given threshold -rrb- for the 4-hour -lrb- w04 -rrb- window between 1900 and 2300 utc | a large modulus of complex conjugate roots corresponding to amplitude-modulated harmonic with 6-months period -lrb- the first line ...,,,reference | forecast | comparing | other | formula,,changes|liquid,"respond to emergencies and other scheduled maintenance activities quickly | map out opportunities for independence and improvement | determine how the highest pollution level of the day | a double impact . | airport chaos for 50,000 . | anticipate the performance of data transfer in terms of tcp throughput , tcp connection time and round trip time | provide important judgment principles to decision-makers | ironman new zealand to be ... | explain this | make wilderness use safer for yukoners and visitors alike | alert on storms and cyclones | show what kind of return on investment the business is likely to | concern -lrb- + video -rrb- | concern , not panic , for maine 's industry . | provide an additional reference in determining the winter temperature",0.4308,,,,condensation,condensation,TRUE
squeezing oranges to make orange juice,physical change,,,,,temperature changes of the water | creep of the membrane plastic | back to liquid | the bonds that solidify the wax | through a change that does n't alter its chemical nature,,squeezing,emotion | dynamic | way,0.0000,orange juice,,,,,,physical change,physical change,TRUE
squeezing oranges to make orange juice,chemical change,,,,,as a result of the change | themselves in | a change in the arrangement of the atoms involved so a different substance with different properties is produced | electrical energy applied from some external source | with oxygen | a cake that my family enjoys | shaking,,squeezing,catalyst | basis,0.0000,orange juice,,,,,,physical change,physical change,TRUE
If a snake copies another snake it is called,play,,a rhetorical device to engage in a dialectic with ourselves,,,"friction , collision angles , the coefficient of restitution of the balls | the serious violation of long-cherished social and moral norms relating to chastity , trustworthiness and loyalty | poor time management skills and an avoidance of other problems | trash talking , gambling , high fives , patting each other on the butt and poor shots from swinging 460cc drivers from the | caroline the aid of whitman 's poem | three major factors -lrb- tx house , 2013 -rrb- | the shadows settings | the attention of an umpire to an infraction which he would otherwise ignore | o'neill 's failure to develop | to recognize and attack flaws in their | reservoir characteristics leading to significantly high | what | , each seemingly capable of can - celling the other out , as in the double cross , or as in the indiantale of ' ` the brah | a lack of structured , interactive play between the cat and his human | one of the unintended , unrecognized , and previously unknown men cloned from his original son | by a player acting in a dangerous manner | fossil fuel combustion -- pure and simple | macbeth 's letter telling of the witches ' prophecies | reservoir characteristics leading to significantly high oil and gas rates | visits to the huntsman center | towers and cities with blocks , play in the sand , construct contraptions on the woodworking bench , and draw murals | his wife of infidelity and refuses to | fewer concerns | no enrollment | insufficient forethought | an enduring conflict about the position of housing associations | with divine influence | both teams -lrb- a.r. | alongside the child , rather than just providing the toys or supervising | , and when animals are in a relaxed state | men 's clothes and arms to challenge roughman in a field | alone or near another child with no interaction between them | at cross-purposes to each other | clytemnestra | the need to generate interactions with the environment or self that",,snake,heart | play | service | using | differing | child | world,0.0000,another snake,"prepare ourselves | the app to freeze | balance learning for individual childrenthe child | support the children 's learning and development | seek out joy for the sake of joy | learn something useful | create a sensible and translatable world | reduce children 's stress | develop knowledge about self and significant others in the child 's environment | relieve the sense of alienation that many people can feel | develop | develop balance , coordination , motor skills and spatial awareness and outdoor play | exercise young minds and muscles | inform teachers of the kinds of insights , issues , and feelings children experience during their play | more concussions in soccer . | balance learning for individual children the child engages at the | strengthen and practice these instinctual skills | reflect on the other less | keep children happy and healthy | provide stimulation for proper perceptual , motor and neural development | play -- to live in the moment and simply to exist | overcome differences in power in the caregiver-child relationship | develop skills that will be useful throughout your dog 's life | teach children the necessary life skills they need to cope with their experiences | connect both hemispheres of the brain | hallucinate ego mastery | sustain our faith in an idea that underwrites both our economy and our culture | overcome differences in power in the caregiverchild relationship",0.0000,,,,mimicry,camouflage,FALSE
If a snake copies another snake it is called,mimicry,,,,,"her situation | to resemble each other | harmless species to fool prey | to resemble each other , presumably to reduce predator sampling rates , the heliconius butterflies | developmental or genetic constraints | unintentional selection by humans | common infectious agents which do not exhibit the same geographic variance | to resemble a second species -lrb- the model -rrb- be - cause of the selective benefits associated with confusing | of sufficient quality to deceive -lrb- 1 -rrb- the model species or -lrb- 2 -rrb- species other than the model that . | the fact that predators need to be educated to | to resemble one another | features similar to another species | the behaviors of another person | the colour pattern of the internal organs -lrb- mainly the mantle -rrb- which pattern is visible through the -lrb- semi -rrb- transparent shell | the opposite sex in its behavior , appearance , or chemical signalling | one another despite being unrelated and all | that lack of awareness | is also well-defended | divergence between a stimulus and its established meaning to the signal perceiver , with or without | species evolve to mimic each other | one another in appearance | to look like each other",,snake,theory | advantage | science | second | premise,0.0000,another snake,ferentiate the colonizer-colonized relationship from that of adults and children | make the interaction an easier and more pleasant experience | keep them safe while they | facilitate positive social interactions | an increase in rapport | put them in physiological states similar to the babies such as smiling | immense consternation in effusion cytology and sets both overcall and undercall pitfalls in our path . | social influence | an increase in rapport between two interactants | create affiliation and rapport because the desire to build such a relationship is higher in the similarity condition | trick your enemies | show that he was just,0.0000,,,,mimicry,camouflage,FALSE
If a snake copies another snake it is called,camouflage,,the skin,,,without identification | egg color | a difference from the background model that,,snake,tattooing | use,0.0000,another snake,"break up a silhouette by blending a shape 's edges with its surroundings | break up the human outline | hide the object 's | the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . | hide you | reduce the odds that someone will | any moving platoon to stop | defeat | persuade the enemy",0.0040,,,,mimicry,camouflage,FALSE
Which would cause liquid water to change to a solid?,freezing,water,the subsurface pore water | cold air,1.0000,,"in the rotor and the temperature | very general properties of the grammar | coherent suppression of dynamics of the many-body modes | it | unfrozen water movement -lsb- 1 -rsb- which is caused by chemical potential difference due to ice formation i | animals undergoing tone fear conditioning in the same chamber in which they received 10 lightshock pairings a day earlier | away from the cold coil inside the air conditioner | cavitation | with the plant components and heat | which | heterogeneous infrastructure , stones , high points of frozen stone and water flow | a leak in the refrigerant lines | that | sublimation | cell dehydration stresses | northward along the base of the ice shelf | expression of these genes | a combination of an increasing inability to generate stride length superimposed on a dyscontrol of the cadence of | cchunkmap | intel 's power saving strategy | the flowing water | the locking of one program | into contact with the cold ground and object surfaces",,change,good | nature | pushing | favorite | increase | minimum | converting | likelihood,0.1246,solid,"the water inside the core to expand due to the fact that ice occupies a larger volume than liquid water . | prevent the destructive ice crystals from forming in the egg | relax hot welds | the water in the capillaries of the concrete to expand , creating pressure . | preserve the shape | the formation of ice crystals , which make muscle fiber swell and cause their physical separation . | retain more nutrients and flavor | insure adequate treatment | achieve a thorough hardening of the specimen by aprogressive crystallization of the free water -lrb- completely locking the body fluids ... | inhibit the growth of microorganisms hence help in preservation of foods | cell popping ice crystals to form . | any water in the food to expand , breaking down cell walls | free more virus particles from cells which re - mained intact | both temperature-dependent -lrb- thermotropic -rrb- and dehydration-induced -lrb- lyotropic -rrb- phase changes in biological membranes -lsb- 4,18 -rsb- . | the water between the soil particles to expand making the layer thicker . | stop any variations completely and also preserves the natural goodness in it | rid the cake of crumbs and smooth the surface , allowing the | expansion and freezing | prior to freezing | formation of large ice crystals that ir - reversibly damage tissues . | prevent rapid cellular dehydration and ice-crystal formation | get nice thin slices -rrb- | the solid state | the intra-cellular water to freeze in-place without the formation of ice within the cells . | smaller ice crystals , which minimize this from happening . | develop more anthocyanins in the | large ice crystals to form in the food , damaging the texture .",1.0000,,a liquid |a solid | liquid |solid | its liquid form to its solid form |its solid form,,freezing,freezing,TRUE
Which would cause liquid water to change to a solid?,heating,water,an electrically conducting object | hydrogen,0.0000,,"the driving convection velocity , due to wave reflection | semiconductor material intrinsic resistance and the resistance at the heterojunction | linear parallel phase mixing | in the figure below | shadowing effects of trees | proximity of the impeder to the hot metal | interactions between the moving particles that form the current -lrb- usually , but not always , electrons -rrb- and the atomic ions that make up | a variety of spaces | absorption of the energy from broadband acoustic emissions generated during bubble | in the direct alternating magnetic field | photoelectrons streaming along field lines from low altitudes of the sunlit magnetic conjugate | field cancellation of the work piece | forming conducting paths under the influence of the applied field | nonsinusoidal current | local joule heating on a metal surface resulting from a surface magnetic field created from pulsed rf | to the wrong neutral conductor | gas heating | to an mri scanner | induced ventilation | as current flows through it | uniformly distributed over the volume heat sources of constant power 1.7 1013 w0cm3 | 10 to 40 % large wood was not tested | condensation , freez - ing , and deposition | fire or others | to an imperfect dielectric material | human activities | repeated or frequent contact of the brake shoes against the drum | how many power | high iqr losses | air exposure or by air entering the silage mass | constriction of current | intensive cpu work | locked rotor or long periods of running dry -lrb- 150c -rrb- | hot neutrals from the fireball | burning carbon fossil fuels such as coal , oil and gas",,change,turned | heating | general | converted | using,0.1733,solid,"the atmospheric convection to decrease , and the urban boundary layer begins to stabilize . | contribute to the melting of basal ice | a complex series of physical and chemical changes to occur . | a rapid outward expansion , impacting the surrounding cooler air at a speed faster than sound would otherwise travel . | heat | save energy , reduce utility costs , and preserve the | damage and inconvenience of many kinds , and develops so quickly in its later stages | helps to .",0.1376,,the sun | the sun |heat water | the sun |heat water for homes and buildings,,freezing,freezing,TRUE
Which would cause liquid water to change to a solid?,warming,water,a normal body temperature | contact | the average temperature of the atmosphere,0.0828,,"loss of this albedo effect as high | the emission of greenhouse gases | than the outgoing energy | only candy floss and wasps | absorption | stronger westerly winds bringing warm , wet air into the region from the ocean . | humans | sexually transmitted diseases -lrb- std 's -rrb- | co2 | relative few lines of computer code - the weak link in the chain buried | human activities | through the process of enriching the atmosphere with greenhouse gases | concentrations of certain gases -lrb- called greenhouse gases -rrb- in the atmosphere trap the | a bicycle tire with a hand held-pump | in strength | paving over croplands | the release of carbon dioxide -lrb- co2 -rrb-",,change,term | rise | result | changing | increasing | maintaining | warming,1.0000,solid,"ensure they have a better chance of survival as well | people | , and why industry is a major cause of human-induced greenhouse gas emissions . | climates to change . | more global warming | global warming glossary about climate hot map climate hot map . | crazy weather | protect your patients from getting hypothermic , a core body temperature of 36c or below | that have been at work even before the birth of mankind . | lessmore snow global warming newsline 12/31/13 edition 72 billion hiroshima bombs of ` missing heat ' went . | thrive | accelerate warming at a global scale as well -lrb- acia , 2004 -rrb- | manage the risk of hypothermia | sustain normothermia , which can lead to a reduction in the rate of infection , shorter hospital stays , and lower | global cooling | helps to dry wetlands or thaw frozen soil",0.0000,,,,freezing,freezing,TRUE
Which would cause liquid water to change to a solid?,dripping,water,bits of content,0.0000,,"diluted paint and holds the brush at an angle to the canvas | on the scale | capillary waves which move upstream while growing until they pinch off the interface at the orifice | as a drop by gravity forces | factors such as air bubbles in your material , or ... | the entire constriction channel cross | a ` hydro-capillary ' effect that keeps tea",,change,solidified | leaking out,1.0000,solid,give the soup loads of flavour | damage and rust to components it 's dripping on | output chattering | less process dimensional variation than misting . | avoid cross-contamination - self calibration is accomplished with our calibration strip which enables accurate result - built in refractometer,0.0000,,,,freezing,freezing,TRUE
"<span class=""blank""> </span>is the spinning of a planet on its axis. ",rotation,,employees | different crops | an object,,,"deflection of the converging winds | together this is root rotation | si , sacrotuberous , and sacrospinous ligament disruption | elastic distortion of the crystal and accommodation between the pillar top and the compression anvil | and exits the rock | outflow of plasma | artifacts of preparation | the movement of colder higher pressure air that is moving away from the poles towards the equator being affected by the rotation of the | the conservation of anglar momentum | alignment | release of shear stress along intruded shear fractures | two pairs of rollers mounted on two laterally extending studs on the bolt head | ligamentous tension .4 | additional time above the scheduled hours | means of a clock type spring 32 | tightening of the posterior capsule and muscular tightness over time | a functioning vestibular system | quantum interference of different excitation pathways | which | and this gives another symmetry of order two | beating | procession of the equinoxes | cleavage of the lactone rather than by a change in the sugar function | tilting of the head and through ocular torsion | shielding of resonant perturbations and by the distortion of magnetic flux surfaces enhancing neoclassical | henseke , l 2 | direction of vortex core magnetization | sets of dislocations that are | contraction of obliquely oriented myocardial fibers | periodic oscillations of the platform | realignment of the rotor dna | the scheduled hours | move - ments of the cilia of the spermatozoids | , airway partition and flow disturbance | approximately oscillatory behavior of both the predator and prey | inward | muscle | the design of the alt-az | the turns as it should",,spinning,imagining | angle | planting | practice | spectrum | height | allowing | fundamental | principal | quantity,0.0000,axis,"a circular -lrb- pure -rrb- spin currents in a rotating frame -lrb- fig . | isolate these modes and reconstruct in time domain without | eradicate weeds , insects and plant diseases | climate change | give the impression of 3d tracking | achieve a similar behavior of the avastar character | the planet to spin one-and-a-half times during each orbit of the sun | produce severe weather events such as large hail | prevent the build up of problems | the earthmoon distance to increase at approximately 38 millimetres per year . | increase intensity to your ankle point | avoid monopoly of job and enable the employee to learn new things and therefore enjoy his job | anything on the earth that is n't perfectly on the equator to spin , and the effect gets strong enough as you get | solve multiple potential problems created by torsional eye | the occurrence of alternating day and night | ensure that all of your tires wear evenly | promote predirtahle insulin absorption | address all these issues | slough off excess solids | prepare our residents to manage patients with chronic diseases | prevent or expose dangerous shortcuts or even fraudulent activity | ensure a continuously diverse experience | helps to easily trade dow jones indexes , top ranked sector investing newsletters , etf sector rotation , sector rotation investing newsletter | produce severe weather events such as large hail , strong downbursts , and tornadoes | bring us spiritual rewards far more enduring than any fame | remove their food source | glaciers to melt ; more solar radiation ; elliptical = less radiation .",0.0000,,one position to another |another | one side of the vehicle |the other,,rotation,revolution,FALSE
"<span class=""blank""> </span>is the spinning of a planet on its axis. ",revolution,,"the iranians | the brain | a model | high yield varieties of better seeds , chemical fertilizers and new techniques in agriculture | ourselves and our world | a business like a franchise",,,"to occupy principal roles within the | that | the arrival of optical atomic clocks | violence | a gap between expected need satisfaction and actual need satisfaction | a rhetorical shift that breaks with the past and creates a new framework for different actions , ideologies , and social | this personality cult | a certain threshold value aa | human activities | a huge social impact | its ability to maintain law and order | personal discipline | up to such an extent that it becomes unworkable | a. | a new , more natural , way to construe the data | a certain threshold value a. | a revolutionary aesthetic",,spinning,web | revolution | resocializing | creating | checking | onset | ideal | teaching | using | answer | changing,0.0061,axis,"showcase this | trouble . | highlight their significance | solve this problem | recycle leftover construction materials into livable tiny homes , often | shorten the game by | protect cats and dogs from heartworm | illuminate aspects of the revolution such as the shifts in consciousness | create organizational instability as a direct counter to organizational stability | establish a new social order according to the will of heaven and the interests of people rather than merely the destruction | prevent exposure to one type of tick for cats and dogs | : 14 engaging lessons for the american revolution and revolutionary war ! | create marxists | ` ecological disaster ' | that have contributed , among others to the deteriorating of the iran-united states relations .",0.0000,,,,rotation,revolution,FALSE
"<span class=""blank""> </span>is the spinning of a planet on its axis. ",orbit,,,,,"a single visit by traveling halfway around the sun or a planet | highly accurate ts -lsb- n -rsb- | rotational motion constrained by a gravity well | it | - ed to the 1700 v or so of tension between top and bot - tom microchannel plates during observations | -lsb- i n -lrb- 2 -rrb- -rsb- 1 -lsb- i +2 n -lrb- 1 -rrb- + n -lrb- 2 -rrb- 2n -lrb- 2 d1 -rrb- 2n -lrb- 1 | two orthogonal circles if the arc extends to a whole circle , in which case the size of the | with suf - ficient force to the orbital floor to rupture | ct | fat sup - pression | the gravity eld of the earth | strong tidal forces from the earth that effectively '' `` locks '' '' the moon 's orientation | 270 degrees | from the payload , when rocket bodies or payloads disintegrate or ... | some onboard propellent | in the gravity of a planet , moon or star and it goes round and round it | being in free fall , why do n't astronauts feel the constant acceleration | which | ws -lrb- c -rrb- other than at the origin | this accelerated convergence | expansion | a set of thrusters | * 0.208 | the iss attitude information generated by the sigi receiver | the gravity of venus | approximately 37,000 km -lrb- 23,000 mi -rrb- above the earth 's equator with the characteristic that , from | sigi receiver | at a maximum | fat suppression | 0 -lrb- grazing pass at pz -rrb- | an onboard hydrazine propulsion sub-system",,spinning,mining | supply,0.0000,axis,"prevent too much debris being placed into low earth orbit | control properly where the cuts into the bone are made , which is especially important when trying to avoid entering the | explain why you do n't get a lunar eclipse every full moon , but only about every six months when the earth , moon and sun | describe its orientation in space | protect the human eye from injury | havoc | reduce ivo 's radiation exposure during periapse | link breaks to happen more often , while the modified random waypoint shows an intermediate ... | severe gravity loss because of the long low acceleration maneuver .",0.0001,,,,rotation,revolution,FALSE
"When two substances are combined, this may occur:",retract,substances,,,,me - tastases | separate spring | the assent of the aggrieved party | hydraulic pressure | spring action or gravity,,combined,feature,0.0266,,,,,,,reaction,reaction,TRUE
"When two substances are combined, this may occur:",reaction,substances,complex macromolecules | antigen-specific b cells | one or more substances,1.0000,,"alcohol-soluble constituents of serum and spinal fluid | digestion | other inflammatory cells recruited into the area | pituitary luteinizing hormone or luteotropin and not | negative nonmetal ions | a chemical in the plant called urushiol | the induced synthesis and release of mediators including leukotrienes , chemokines , and cytokines from the activated mast | parasites | an inability to metabolize alcohol | altera tions in the normal flora of the body | donation of the electron pairs on the four | the release of toxic chemicals -lrb- endotoxins -rrb- released from the cell walls of dying bacteria due to effective treatment | pt | dry cleaning solution | place that results in breaking down chemical bonds | to alkenes , but not to alkanes | venom | its influence on beta-type adren - ergic receptors | the release of histamine and mast cell granule proteins by a process called degranulation , as well as the production of leukotrienes | which | dying organisms releasing endotoxins | the place of one of the elements in a compound | many microcapsules remaining in the subcutaneous tissue layer | two compounds colliding | paramagnetic exchange interactions | quickly as a reaction to exceptionally stressful events | coarse particles | nematode feeding | each respective plant | an average of one or more subsequent nuclear reactions | to cyclohexene | to a ground state isomer of the initial substrate molecule | the nitrogen diffusion | only the protons | above mentioned hormones | into the skin | radiation-induced cell killing that impairs tissue functionality and it can manifest as acute or late response -lrb- iaea , 2010 -rrb- | pineapple 's meat-tenderizing properties | herpes simplex | only 100 mg or more of gliadin | a piece of meat in apple cider vinegar",,combined,breaking down | product | substance | third | basis | turned | term | other | mass | mature | total | change,0.0029,,"a chemical change . | transfer certain amino acids across the plasma membrane | ensure that only one sperm fertilizes the egg | note that , while a positive pathergy reaction helps to confirm a specific behet 's disease diagnosis , a negative reaction does not invalidate ... | draw infected drainage out of a wound | a chemical change true or false ? | vitalize skin | prevent pathogens from getting into our bodies by making it more difficult to swallow or breathe | one or more new substances | food allergies . | draw attention to the fact that something is being an irritant to your skin | have minimum contamination | carbon dioxide and dihydrogen | distinguish this disease from rheumatoid arthritis and psoriatic arthritis | focus attention on a very useful term that aims to get beyond the usual rather opaque risk statements in terms of person-years or 100 000 | other symptoms to occur , including increased heart rate , rapid breathing , excessive sweating , vision changes , slowed ... | the long-lived plasma cells -lrb- antibody-secreting cells -rrb- | identify and assess the extent of the reaction | induce self-healing from the soul level | fill in the crack path by healing it | suppress the rotational ambiguity16 that arises from the absence of selective spectral regions | realize rapid signal recovery that significantly improves the repeatability of the sensor | overcome reactant conversion limitation because of chemical equilibrium | put into perspective the significance of the labour initiative in 1942 as well as the danger of an american take-over",,,one stable state |another stable state,,reaction,reaction,TRUE
"When two substances are combined, this may occur:",repel,substances,,,,re-entrant curvature | an alkanethiol with a minimum two ethylene glycol -lrb- eg -rrb- terminal units | erage and adequate deposition | the inherent scent of the organism,,combined,problem | way,0.0000,,grass to not do the special shaking | keep it cleaner longer | repel those pesky critters that destroy or damage our landscape plantings | everyone within the area of effect to be affected by the repel call .,,,,,reaction,reaction,TRUE
A force that resists motion created by objects rubbing together.,gravity,,,,force,"through space | the earth 's gravity | in '' `` free fall | many different sources , such as earth tides , ocean bottom pressure , atmospheric surface pressure , and the hydrological cycle | auxin redistribution | that air | fractality -lrb- goldenmean.info / fractalgravity -rrb- | to raise his head in the prone position | higher than your torso at a 120 degree angle | curved spacetime | static charges",0.2500,motion,observer,0.0000,objects,"our hearts and lungs and every other bodily organ or system to overwork in order to maintain harmony or balance . | angular momentum , what if angular momentum causes gravity | or what we see | a force on the center of mass of m g in the vertical direction leading to . | erosion gravitational erosion how does running water cause erosion types of erosion how do weathering erosion and ... | give us a lift instead | all objects near the earth 's surface to fall ... | serious changes in how our bodies function | minimize relativistic effects from any observational frames of reference within the solar system | keep the earth and sun stable in its rotation | erosion by pulling dirt , rocks and soil downward . | centripetal force ? | every object to pull every other object toward it . | all objects near earth 's surface to fall with what acceleration ? | stable in their rotation axis | hold them up -lrb- since gravity helps to keep them in place -rrb- | keep the earth stable on its axis | build bone and muscle strength",1.0000,,,,friction,friction,TRUE
A force that resists motion created by objects rubbing together.,friction,,,,force,"2 static coefficient of friction | the texture of ice grains in a slab and in surrounding | adhesive forces between the surfaces in sliding contact and its mechanical stiffness | surface roughness | at different velocities | forces between two things | an increase in the layer thickness | each other | loading at high stresses when the polymer chains are dragged past one | into contact with the outer surface of the rider and the bicycle | the high contact force between the sliding tip and the sapphire surface | one surface moving over another | ploughing and adhesion between contacting surface asperities | the molecular attraction or adhesion of the materials | relative motion between the workpiece material and the material of tools | the roughness of the | breakdown of the oil film | across a sheet of paper | the increase in the frictional force with the sliding distance | the deformation of the two contacting surfaces | vertical force and relative condition of contact surfaces including roughness and their types of material | , but not so lubricated that there is no direct friction between two surfaces | an interaction of both adhesion on the one hand and asperity deformation and slope on the | penalty force between the two collision models | this | together | ploughing -lrb- due to surface roughness -rrb- and adhesion -lrb- due to | hysteresis and adhesion | relative motion between two surfaces",1.0000,motion,engine | magic | flow | test | second | following,0.0727,objects,"understand the mechanism of chip formation and other | greater inward turning of the wind and thus greater inflow into the bands and greater convection | irritation and creates an inflammatory response in the soft tissues between the itb and the lateral femoral condyle -lrb- 6a -rrb- . | understand the mechanism of chip formation and other complex | a downward force that increases the load on shaft piles and reduces the bearing capacity of piles in soft soils . | physical failure of the prusik cord , rather than the rope | undesired force response estimated by conventional disturbance observer . | the lower part of the circular orbit of the wave to slow down relative to the upper part of the wave exposed to the air . | keep vehicles on the road when brakes are applied | a loss of mechanical energy -lrb- specifically , kinetic energy , or in some cases potential energy that could have been ... | keep vehicles on | gear tooth bending | explain how these assumptions relate to the realities of mobility and displacement in south africa | a force on a surface which is in the opposite direction to its motion . | a greater amount of work over a longer distance | a discrepancy of over 45 between the base and tip angles in certain phantom materials .",1.0000,,,,friction,friction,TRUE
"The process of moving sediment by wind, moving water, or ice is",erosion,sediment|water,,,wind,"the force of raindrops impacting on bare soil -lrb- ellison 1944 -rrb- | place only at the surface of the polymer -lrb- analogous to peeling an onion layer by layer -rrb- | the architecture-as-planned or otherwise violate constraints or ... | climate and temperature as well as the consistency of the soil | through the action of wind and water | the chemistry of the rocks | repeated short episodes of exposure to acids | enough for saltation | away at your enamel | loss of the surface of a skin lesion | the impact of particles on the surface of pipe walls which | transport by down-slope creep under the force of | exposure of the teeth to acid | at a certain velocity through the slurry or when the slurry moves past the material at a certain velocity | the action of the wind on the soil surface | disturbance of a land surface | wave and current activity , storms , earthquakes , wind , tides | head-ward advance | climate and tem - perature as well as the consistency of the soil | wind , water , or ice wears away weathered rocks | concentration of runoff in small channels | regurgitation of gastric acids | shallow sheets of water flowing off the land | a certain threshold value , which depends on a number of factors including surface soil moisture | by wave action | with the fact that soil ... | the impact of raindrops on bare soil and by the power of running water on the soil surface | consumption of acidic foods and drinks typically those which have a ph that is below 5.7 | many natural and man-made problems | at the same rate from one area of the stone | surface scouring | rain and water flowing over land and along watercourses | weathering | a loose attachment of the epithelium to the underlying tissue | shortage of the supply from riverbed , especially the shortage of fine particle | runoff of excess irrigation water | running water | the impact of raindrops on bare or sparsely vegetated soil | dislodged from excessive wind velocity | low residue density , compacted soils and absence | at a nickpoint where elevation and slope gradient abruptly change and protective vegetation is lacking | an adjustment of the barrier island system to new hydraulic , sedimentary , and wave energy conditions -lrb- fitzgerald et al. , 1979 -rrb- | that at which the polymer is converted into water-soluble materials -lrb- resulting in | eroding of the land surface by the raindrops and consequent runoff of topsoil particles | the transfer of kinetic energy from the impacting | a fringing marsh at least 10 feet wide | waves higher on the | direct contact between cholesteatoma and bone | incomplete healing of earlier abrasions , genetic factors , and/or underlying disease -lrb- corneal dystrophy , dry eye -rrb-",1.0000,moving,continuation | gravity | potential | determination | key,0.0140,,"prevent the loss of organic matter and plant nutrients | both '' `` on-site '' '' and '' `` off-site '' '' problems . '' | small bowel obstruction : a rare complication of laparoscopic inguinal hernia repair : ... | control its height | food insecurity due to poor agricultural | deepening of the nearshore and that allows larger waves and wave energy to reach the shore , leading to more bluff erosion . | significant tooth wear and thereby dentine exposure at all sites on the anatomical crowns of the teeth and , particularly , in the cervical ... | has been addressed in many studies -lrb- van rijin , 2011 , dean and dalrymple , 2013 and pranzini and williams , 2013 -rrb- , ... | sidewalk pocket the abc action news app brings you the latest trusted news and information . | no clinical discoloration or softening of the tooth surface and is , therefore , in the clinical situation , difficult to detect ...",,,one place | one location |another,,erosion,weathering,FALSE
