,entailScore,sentence1,sentence2
1090,1.0,wind,with acidic and oxidizing substances 
1091,1.0,wind, to the atmosphere 
1092,1.0,wind, photo-degradation of lignin in the materials 
1093,1.0,wind, with rocks 
1094,1.0,wind, rocks to disintegrate 
1095,1.0,wind, it 
1096,1.0,wind," temperature , wind , waves and the characteristic of "
1097,1.0,wind, in a state in which they are not stable 
1098,1.0,wind, physical changes such as changes in 
1099,1.0,wind, heating and cooling 
1100,1.0,wind," to temperatures , pressures and moisture conditions characteristic of the atmosphere "
1101,1.0,wind, chemical weathering 
1102,1.0,wind," the scouring of rocks by water , wind , or ice "
1103,1.0,wind, purely mechanical changes to the rock 
1104,1.0,wind, elapsed time 
1105,1.0,wind, ice 
1106,1.0,wind," with water , acids , and other substances to dissolve the material "
1107,1.0,wind, directly or indirectly on minerals leading to significant alterations in the organization of the initial 
1108,1.0,wind, into smaller pieces by 
1109,1.0,wind," situations such as wind , rain , ice or lava that carry away materials "
1110,1.0,wind," differences in volatilization , partitioning , chemical transformation , photo-degradation , biodegradation , or bioaccumulation of individual "
1111,1.0,wind, rain water 
1112,1.0,wind, the effects of changing temperature on rocks 
1113,1.0,wind, no chemical change in the rock as it breaks down 
1114,1.0,wind, a solid base 
1115,1.0,wind, moisture freezing inside cracks in rock 
1116,1.0,wind," physical and geochemical processes , which tend to alter the equilibria of minerals "
1117,1.0,wind, down into smaller particles but not moved 
1118,1.0,wind, water circulating through the soil and the bedrock 
1119,1.0,wind, no carbonate correction 
1120,1.0,wind," a gravestone to weather , or break down "
1121,1.0,wind, down by chemical action resulting in a change in the composition of a rock 
1122,1.0,wind, after being exposed to things like acid or oxygen 
1123,1.0,wind, i 
1124,1.0,wind, temperature changes causing small portions of the material to crumble and pile up on the bottom of an incline 
1125,1.0,wind, the wetting 
1126,1.0,wind, large impacts which pulverize rocks to soil 
1127,1.0,wind," mechanical fracturing of rocks , such as that due to the freezing of water in cracks "
1128,1.0,wind," physical changes such as changes in temperature , freezing and thawing "
1129,1.0,wind, rocks to dissolve or decompose 
1130,1.0,wind, mechanical and mostly chemical processes that take place while water in the fractures interacts with the formation larsson 
1131,1.0,wind, macroeconomic stability
1132,1.0,animal,her situation 
1133,1.0,animal, to resemble each other 
1134,1.0,animal, harmless species to fool prey 
1135,1.0,animal," to resemble each other , presumably to reduce predator sampling rates , the heliconius butterflies "
1136,1.0,animal, developmental or genetic constraints 
1137,1.0,animal, unintentional selection by humans 
1138,1.0,animal, common infectious agents which do not exhibit the same geographic variance 
1139,1.0,animal, to resemble a second species -lrb- the model -rrb- be - cause of the selective benefits associated with confusing 
1140,1.0,animal, of sufficient quality to deceive -lrb- 1 -rrb- the model species or -lrb- 2 -rrb- species other than the model that . 
1141,1.0,animal, the fact that predators need to be educated to 
1142,1.0,animal, to resemble one another 
1143,1.0,animal, features similar to another species 
1144,1.0,animal, the behaviors of another person 
1145,1.0,animal, the colour pattern of the internal organs -lrb- mainly the mantle -rrb- which pattern is visible through the -lrb- semi -rrb- transparent shell 
1146,1.0,animal," the opposite sex in its behavior , appearance , or chemical signalling "
1147,1.0,animal, one another despite being unrelated and all 
1148,1.0,animal, that lack of awareness 
1149,1.0,animal, is also well-defended 
1150,1.0,animal," divergence between a stimulus and its established meaning to the signal perceiver , with or without "
1151,1.0,animal, species evolve to mimic each other 
1152,1.0,animal, one another in appearance 
1153,1.0,animal, to look like each other
1154,0.0,animal,without identification 
1155,0.0,animal, egg color 
1156,0.0,animal, a difference from the background model that
